freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,CAR,CH	23387 	24481 	25597 	26321 	26568 	27744 	28153 	29899 	30718 	31286 	32071 	32394 	33993 	34905 	36457 	36468 	37816 	38805 	40319 	41649 	42649 	43744 	43177 r	42258 r	40939 r	41324 r	41683 r	42448 r	43443 r	44406 r	45613 r	46202 r	46837 r	47323 r	47856 r	48040 r	48331 r	48728 r	49467 r	48127 	50949 r	51575 	52582 	54695 	55641 	56620 	57737 	58735 	59344 	59833 	49003 
A,D001,MIO_VKM,CAR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3926 	4785 	4815.8 	4885.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27184 	: 	26110 	: 	: 	: 	31181 	31338 e	31733 e	33481 e	34718 e	35561 e	37175 	: 	: 	: 	: 	37389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	405747 	415427 	431488 	496410 	509958 	517823 	505705 	514414 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	595044.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3956.5 	: 	: 	4763.4 	5094.5 	5140.1 	5237.8 	5430.49 	5894.8 	6249 	6373 	6893 	7852 	7880 	: 	: 	: 	: 	7377.200 e	8211.900 e	8476 e	8670.200 e	8876.100 e	8924.100 e	9397.200 e	9263.300 
A,D001,MIO_VKM,CAR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220135 	218852 	218777 	212287 	207388 	198771 	195718 	197451 	204288 	210142 	214244 	219011 	220151 	158247 
A,D001,MIO_VKM,CAR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33430 	33130 	36050 	35500 	35400 	35760 	36000 	36790 	38080 	39190 	39815 	40680 	41675 	42565 	43530 	44220 	44610 	45560 	40082 	45950 	46245 	46780 	: 	46510 	46800 	47355 	40719 b	40614 	40718 	40718 	39092 
A,D001,MIO_VKM,CAR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	394855 	398065 	398849 	: 	523214 	528117 	540833 	554628 	560248 	560286 	573339 	: 
A,D001,MIO_VKM,CAR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17520 	18058 	19011 	19456 	18965 	18590 	18250 	17995 	18000 	18295 	18850 	19360 	19905 	20310 	20840 	16810 
A,D001,MIO_VKM,CAR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27180 	26732 	: 	: 	: 	24379.280 	25435 	26707.200 	28333.490 	30245.270 e	31577.990 e	32935.960 e	28903.220 
