freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2392.710 e	2523 e	: 	: 	: 
A,D001,MIO_VKM,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	690 r	694 r	596 r	486 r	700 	760 	802 	: 	3846.182 	4312.539 	4421 	4534 	4833 	4800 	4793.150 	4747.686 
A,D001,MIO_VKM,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1714 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101315 	104418 	108753 	110158 	110736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	131766 	132198 	134129 	137837 	139850 	142022 	142259 	124064 
A,D001,MIO_VKM,TOTAL,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43282 e	43281 e	43655 	: 	45285 e	45140 e	45715 e	46107 e	46791 e	47506 e	47065 e	45128 
A,D001,MIO_VKM,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	178571 	177294 r	187979 	195864 e	: 	212168 	217671 e	222106 e	: 	: 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42867 	44571 	47322 	49662 	52173 	53694 	55268 	56899 	58589 	60342 
A,D001,MIO_VKM,TOTAL,SE	37065 	38854 	40730 	44831 	42625 	43342 	46733 	48989 	50277 	51249 	51573 	51231 	51863 	52709 	53222 	54888 	55291 	58639 	61763 	65052 	64310 b	64867 	65537 	64136 	64904 	65700 	66029 	66227 	66955 	68637 	69667 	70642 	72973 	73860 	74599 	75196 	75346 	77456 	76836 	77355 	77604 	: 	: 	77761 	79221 	80736 	82602 	83896 	84536 	83723 	77759.139 
A,D001,MIO_VKM,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9018 	8468 	8740 r	9100 r	9919 r	10653 r	11568 r	12353 r	12323 r	13049 r	13346 r	13637 r	14062 r	14526 r	15100 	15519 	15971 	17058 	17447 	17890 	17826 	: 	: 	: 	: 	20674 p	20605 	21346 	21886 p	: 	20242 p
A,D001,MIO_VKM,TOTAL,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56151 	52631 	51664 	52344 r	57767 	61129 	64577 	69609 	69771 	72431 	80124 	85495 	93989 	99431 	102988 	113274 	119671 	127997 	: 	: 	: 
A,D001,MIO_VKM,TOTAL,UK	200450 	211961 	222519 	234036 	229700 	231749 	243457 	246800 	256509 	255871 	271930 	276892 	284458 	288058 	303087 	309667 	325292 	350469 	375702 	406887 	410840 	411573 	412121 b	412336 r	421540 r	429722 r	441123 r	450324 r	469071 r	477900 r	478376 r	486085 r	499034 r	503318 r	512046 	518423 	526896 	532994 	528662 r	506995 u	493735 u	488882 	487052 	488784 	501511 	509709 	519728 	526423 	: 	573762 	451413 
A,D002,MIO_VKM,BUS_TOT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	570 	: 	: 	620 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1040 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	518.6 	473.5 	494.9 	460.8 	506.5 	465.800 	440 	457 	486 	447 	524.100 	427.600 	320.200 
A,D002,MIO_VKM,BUS_TOT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3251 	3301 	3372 	3453 	4560 	4600 	4600 	4125 
A,D002,MIO_VKM,BUS_TOT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	463 	470 	475 	528 	576 	573 	628 	627 	629 	625 	625 	: 	: 	: 	624 	600 	600 	: 	: 	: 	: 	567 	580 	606 	624 	648 	642 	: 	567 
A,D002,MIO_VKM,BUS_TOT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105.8 	114.1 	114.4 	114.5 	170.6 	176.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2100 	2200 	2300 	2300 	2300 	2300 	2300 	2300 	2300 	2300 	2400 	2300 	2400 	2400 	2500 	2500 	2553 	2655 	2736 	3101 	3169 	3247 	: 	3326 	3375 	2999 	3060 	3051 	3076 	3040 	2330 
A,D002,MIO_VKM,BUS_TOT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	257 	: 	: 	: 	333 	: 	396 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1157 	1167 	1194 	1219 	386 	392 	271 
A,D002,MIO_VKM,BUS_TOT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67 	71 	77 	61 r	69 r	71 r	73 r	76 e	81 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1892 	1919 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	100 	100 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	246.1 	205.7 	197.6 	193.3 	177.5 	190 	174 	175 	159.7 r	163.7 	167 r	173.5 	408.5 	410.7 	376.5 	331.8 r	293.5 	275.8 	266 	272.6 	: 	267.700 	274 	255 	263.200 	269.400 	266.100 	270 	201.700 
A,D002,MIO_VKM,BUS_TOT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26 	28 	28 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	256 	266.6 	273.9 	257 	269.6 	264.9 	259.4 	293.1 	236.31 	238.9 	241.6 	233.9 	233.500 	231.300 	228.400 	231 	231.600 	225.400 	215.600 	177.100 
A,D002,MIO_VKM,BUS_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.400 e	68 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39 	37.6 	37.7 	37 	35 	35 	37 	38 	: 	: 	37 	34 	36 	36 	34 	40 	45 	: 	100 	114.498 	106 	86 	92 	115 	123.750 	47.922 
A,D002,MIO_VKM,BUS_TOT,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.940 e	64.010 e	73.970 e	60 e	71.001 e	81.930 	81.440 e	64.300 e
A,D002,MIO_VKM,BUS_TOT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	600 	602 	600 	621 	623 	8000 	7800 	7500 	: 	: 	7200 	6600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	619 	602 	601 	591 	627 	636 	: 	: 
A,D002,MIO_VKM,BUS_TOT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	329 	332 	324 	321 	330 	338 	350 	332 	337 	344 	343 r	342 r	342 r	341 	343 	341 	353 	344 r	340 	338 r	337 	340 	615 e	: 	: 	576 e	565 e	559 e	561 e	566 e	573 e	586 e	: 
A,D002,MIO_VKM,BUS_TOT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2009 	1990 	2037 	2067 	2004 	1981 	1953 	1923 	1965 	1992.8 	1987.2 	1961 	2031 	2305 	2055 	2703 b	2254 	2174 	2151 	: 	2011 	1914 e	1851 e	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	635 	660 	665 	720 	750 	730 	457 r	471 	484 	477 	455 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	353.250 	346 	376.390 	398.460 	411.690 	441.030 	396.430 	299.100 
A,D002,MIO_VKM,BUS_TOT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	816 	884 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1592 	1636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,BUS_TOT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	131 	: 	77.6 	84.8 	90.2 	91.2 	95.8 	97 	85 	91 	77 	76 r	74 r	73 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117 p	118 	121 	123 p	: 	77 p
A,D002,MIO_VKM,BUS_TOT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	401 	425 	445.1 	356 	310 	390.2 	349.2 	344.9 	353.6 	353.2 	336.5 	339 	339 	335 	317.2 	313.6 	301 	300 	295 	274 	297 	297 	310 	320 	333.800 	279 
A,D002,MIO_VKM,BUS_TOT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2359 	: 	: 	: 	2399 	2520 	2547 	: 	3164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20710 	22050 	24610 	23841 	: 	: 
A,D002,MIO_VKM,BUS_TOT,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4432 	4253 	3970 	3828 	: 	3822 	2598 
A,D002,MIO_VKM,CAR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71520 	: 	: 	73430 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11364 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9834.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35480 r	36408 r	37310 r	38091 r	38906 r	39819 r	40825 r	41330 r	42030 r	42562 r	43040 r	43217 	43662 	46483 	47224 	45649 r	46225 r	46852 	47858 	47682 	48228 	48802 	49595 	50268 	50553 	50717 	42380 
A,D002,MIO_VKM,CAR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3926 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	615142 	627224 	635805 	649639 	642359 	642200 	644800 	578085 
A,D002,MIO_VKM,CAR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30065 	30502 	31376 	32526 	33540 	34749 	35663 	36892 	36928 	36809 	37673 	: 	: 	: 	41094 	42452 	42688 	: 	: 	: 	: 	35611 	36841 	38152 	39275 	40181 	40827 	: 	38388 
A,D002,MIO_VKM,CAR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3024.8 	2995.4 	3226.4 	3250.3 	2995.4 	3226.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	318000 	324000 	334000 	340000 	352000 	350100 	355000 	360700 	371300 r	382800 	382900 	398200 	401400 	404200 	403300 	397800 	395833 	398033 	392355 	394854 	398065 	398849 	399936 	496343 	499902 	445186 	452785 	454285 	451686 	447720 	368689 
A,D002,MIO_VKM,CAR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19271 	: 	: 	: 	22894 	: 	27312 	: 	: 	: 	: 	: 	: 	: 	: 	29036 	30227 	31769 	32741 	: 	: 	: 	: 	: 	32645 	35020 	36623 	37181 	36817 	36301 	26654 
A,D002,MIO_VKM,CAR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1779 	1885 	1991 	2017 r	2210 r	2272 r	2338 r	2414 e	2580 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	52475 	40297 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36751 	37113 	37078 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8625.5 	9991.7 e	12772 e	16808 	18886 	18628 r	18995.3 r	18027.7 	14960.2 	15932.5 	: 	17772.200 	13071.700 	13196.800 	14049.200 	16822.800 	17487 	: 	: 
A,D002,MIO_VKM,CAR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6392 	6268 	6809.3 	7486 	7978.6 	9504.8 	11135.5 	9945.9 	8865.13 	8592 	8107.1 	8234.3 	8381.700 	9018.400 	9673.300 	9927.700 	10699.200 	10897.600 	11072 	10553.500 
A,D002,MIO_VKM,CAR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1487.200 e	1554 	: 	: 	: 
A,D002,MIO_VKM,CAR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3121.182 	3343.041 	3455 	3544 	3777 	3725 	3834.400 	3862.764 e
A,D002,MIO_VKM,CAR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2261.530 e	2485.470 e	2563.090 e	2198.131 e	2333.174 e	2395.950 	2408.390 e	1878.600 e
A,D002,MIO_VKM,CAR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80090 	82410 	85876 	86465 	86280 	83100 	85000 	88400 	: 	: 	91900 	92900 	: 	94902 	95827 	97485 	99696 	: 	: 	: 	: 	98483 	98707 	99969 	102394 	103516 	104736 	: 	: 
A,D002,MIO_VKM,CAR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22845 	23176 	23324 	23150 	23126 	23485 	23551 	23698 	24658 	23549 r	24144 r	24577 r	24989 r	25611 	26443 	26989 	27602 r	28708 	29880 	32247 	32714 	30578 	32523 e	: 	33537 e	33592 e	33503 e	34091 e	34500 e	35053 e	35629 e	35149 e	: 
A,D002,MIO_VKM,CAR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	137857 	145977 	151486 	157586 	157770 e	161113 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30300 	33150 	36000 	38400 	41250 	44250 	47250 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26048 	26919 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34887 	38077 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,CAR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4749 	: 	4338.2 	4806.4 	5221.4 	5639.8 	6232 	6622 	6660 	7098 	7207 	7580 r	7820 r	8096 	8464 	: 	: 	: 	15170 	: 	: 	: 	: 	: 	: 	16220 p	15849 	16448 	16828 p	: 	16568 p
A,D002,MIO_VKM,CAR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13730 	: 	: 	: 	18294 	21061 	22994 	: 	30605 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	129973 	148456 	157754 	170801 	: 	: 
A,D002,MIO_VKM,CAR,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	393294 	397711 	404050 	408678 	: 	447077 	336726 
A,D002,MIO_VKM,LOR_RTRN,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14530 	: 	: 	560 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,LOR_RTRN,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3553 	: 	: 	: 	: 	: 	: 	: 	: 	: 	638.6 	666.8 	776.4 	895.6 	910.6 	689.3 	787943.3 	741382.4 	813 	1010.2 	972.7 	973.2 	214.6 	1056.200 	959.800 	975.300 	963.800 	1002.900 	902.500 	702.100 	877.300 
A,D002,MIO_VKM,LOR_RTRN,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5619 	5732 	5859 	5998 	6125 	6272 	6408 	6541 
A,D002,MIO_VKM,LOR_RTRN,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2275.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,LOR_RTRN,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18116 	: 	: 	: 	: 	: 	: 	: 	12982.46 	12978.13 	13034.67 	: 	: 	: 	: 	81011 	83191 	85798 	88318 	90758 	90700 	87400 	83673 
A,D002,MIO_VKM,LOR_RTRN,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7533 	6840 	7029 	7099 	7221 	7329 	7597 	7952 	8236 	8497 	8628 	: 	: 	: 	2303 	2381 	2288 	: 	: 	: 	: 	9233 	9157 	9208 	9449 	9357 	9320 	: 	8847 
A,D002,MIO_VKM,LOR_RTRN,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1182.4 	1111.4 	900.9 	903.5 	1129.5 	1236.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D002,MIO_VKM,LOR_RTRN,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19400 	20300 	24500 	24300 	24800 	25400 r	26400 	26500 	26800 	27000 	26400 	27400 	27200 	27391 	27997 	26466 	106305 	110033 	113515 	: 	18471 	17640 	16934 	17459 	17765 	17866 	25909 	: 
A,D002,MIO_VKM,LOR_RTRN,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4677 	: 	: 	: 	2244 	: 	2031 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8833 	8546 	8915 	9287 	7891 	8023 	7283 
